id,predicted_positions
0,"[10, 12]"
1,"[1, 6, 7]"
2,"[4, 12, 20, 21]"
3,"[5, 10, 18, 20]"
4,"[5, 10]"
5,"[6, 7, 13]"
6,[14]
7,"[3, 12, 15]"
8,"[6, 13]"
9,"[7, 12]"
10,"[3, 11]"
11,"[5, 18]"
12,"[6, 12]"
13,[11]
14,"[13, 15]"
15,"[4, 11, 21]"
16,[7]
17,"[3, 10, 18, 19]"
18,"[5, 9, 17]"
19,"[5, 9]"
20,"[3, 6, 13, 15]"
21,"[1, 7, 9]"
22,"[5, 11]"
23,[3]
24,"[5, 12, 18]"
25,"[5, 16, 17]"
26,"[3, 10, 11, 17]"
27,"[6, 15]"
28,"[15, 21]"
29,[10]
30,"[5, 11]"
31,"[5, 14]"
32,"[3, 8]"
33,"[4, 12, 13, 19]"
34,"[5, 16]"
35,"[3, 8]"
36,"[5, 9, 12]"
37,[5]
38,"[13, 15]"
39,"[4, 11, 14]"
40,[14]
41,"[3, 11, 19]"
42,"[5, 10]"
43,[11]
44,"[3, 9]"
45,"[1, 4, 12, 16]"
46,[5]
47,"[3, 9, 16, 17]"
48,"[5, 10]"
49,"[5, 11, 15]"
50,"[3, 9, 11]"
51,"[6, 10]"
52,[5]
53,"[3, 10, 12]"
54,[5]
55,"[10, 12]"
56,"[10, 13]"
57,"[7, 8, 12]"
58,"[15, 21]"
59,"[3, 10, 21]"
60,"[5, 9, 12]"
61,[10]
62,"[3, 12, 22]"
63,"[1, 4, 12, 15]"
64,"[5, 16]"
65,[3]
66,"[5, 15, 21]"
67,[14]
68,"[13, 15]"
69,"[4, 11, 12]"
70,"[5, 12]"
71,"[3, 9]"
72,[5]
73,"[7, 11]"
74,"[3, 11, 13, 23]"
75,"[1, 4, 8]"
76,"[5, 14]"
77,[3]
78,"[5, 12]"
79,"[5, 18]"
80,"[3, 10, 13]"
81,[6]
82,"[5, 16]"
83,"[3, 9, 17, 19]"
84,"[5, 11]"
85,[12]
86,"[3, 10, 13]"
87,"[4, 12]"
88,[14]
89,"[3, 10, 18]"
90,[5]
91,[]
92,"[3, 10]"
93,"[1, 4, 12]"
94,[5]
95,"[3, 9, 11]"
96,"[5, 18]"
97,"[3, 9, 11]"
98,[12]
99,"[11, 16, 22, 23]"
100,"[3, 7, 8, 14, 18, 25]"
101,"[5, 13, 15, 22]"
102,"[11, 14, 19]"
103,"[3, 14, 25]"
104,"[1, 4, 12, 18]"
105,"[12, 20]"
106,"[3, 9, 12, 24, 29, 30]"
107,"[5, 14, 22, 30]"
108,"[10, 15, 16]"
109,"[3, 10, 19]"
110,"[1, 4, 9, 10, 17]"
111,"[12, 22, 25]"
112,"[3, 9, 10, 15]"
113,"[5, 13, 19, 26]"
114,"[5, 6, 13, 20]"
115,"[3, 15, 17, 24]"
116,"[1, 4, 10, 20]"
117,"[5, 14, 23, 30]"
118,"[13, 15, 24]"
119,"[5, 12, 18, 26]"
120,"[5, 11, 17]"
121,"[3, 9, 12, 16, 21]"
122,"[1, 4, 12, 14, 19]"
123,"[5, 15]"
124,"[3, 9, 11, 19]"
125,"[5, 12, 20, 27]"
126,"[5, 8, 25, 27]"
127,"[3, 10, 12, 15]"
128,"[1, 4, 12, 13, 20]"
129,"[5, 14, 21]"
130,"[3, 12, 19]"
131,"[5, 17, 25, 26]"
132,"[5, 9, 12, 19]"
133,"[3, 11, 13]"
134,"[1, 9, 11]"
135,"[5, 11, 19, 25]"
136,"[3, 14]"
137,"[5, 9, 17]"
138,"[5, 14]"
139,[14]
140,"[4, 10, 15, 17]"
141,"[7, 13, 22]"
142,"[3, 12, 14]"
143,"[5, 11, 18]"
144,"[5, 12, 16]"
145,"[3, 13, 20, 21]"
146,"[4, 8, 10, 17, 21]"
147,"[8, 20]"
148,"[3, 12, 14]"
149,"[5, 16]"
150,"[11, 25]"
151,[11]
152,"[1, 13, 18]"
153,"[5, 11, 16]"
154,"[8, 14]"
155,"[5, 14]"
156,"[8, 12, 14]"
157,"[3, 8, 14]"
158,"[1, 4, 10, 12]"
159,"[5, 14, 17]"
160,"[12, 13]"
161,"[5, 13]"
162,"[11, 16]"
163,[8]
164,"[1, 4, 10, 11, 18]"
165,"[7, 14]"
166,"[1, 13, 14]"
167,"[5, 10]"
168,"[5, 14]"
169,"[4, 12]"
170,"[1, 9, 15, 17]"
171,"[5, 12]"
172,"[3, 13, 15]"
173,"[5, 9]"
174,[10]
175,"[1, 7, 12, 19]"
176,"[1, 4, 13, 19]"
177,"[3, 14, 19, 22]"
178,"[5, 10, 13]"
179,"[5, 6, 9]"
180,"[12, 18]"
181,"[1, 4, 13, 19]"
182,"[5, 10]"
183,"[11, 23]"
184,"[5, 11, 14]"
185,"[5, 6, 11]"
186,"[3, 8, 13]"
187,"[1, 4, 13]"
188,[12]
189,"[13, 17]"
190,[5]
191,[11]
192,"[1, 6, 16]"
193,"[1, 4, 8, 15]"
194,"[5, 16]"
195,"[12, 15]"
196,"[5, 13]"
197,"[5, 10, 17]"
198,"[5, 13]"
199,"[4, 9, 12]"
200,[11]
201,"[7, 9]"
202,"[5, 11]"
203,[11]
204,[9]
205,"[1, 4, 12, 13]"
206,"[5, 11, 14]"
207,"[3, 15]"
208,"[5, 12]"
209,"[5, 13]"
210,"[3, 11]"
211,"[1, 13]"
212,"[5, 11]"
213,"[3, 9, 12]"
214,"[5, 10]"
215,"[5, 15]"
216,"[4, 10, 20]"
217,"[1, 4, 10, 15]"
218,[8]
219,[14]
220,"[5, 10]"
221,"[5, 6, 15]"
222,"[1, 4, 7, 12]"
223,"[5, 11]"
224,"[3, 8, 11]"
225,"[5, 11]"
226,"[5, 9]"
227,"[3, 13]"
228,"[1, 11, 16]"
229,"[5, 9, 11]"
230,"[3, 12]"
231,"[5, 17]"
232,"[8, 14]"
233,"[1, 12]"
234,"[5, 10]"
235,"[3, 4, 8]"
236,"[5, 11]"
237,"[5, 11]"
238,"[9, 10]"
239,"[1, 7, 9]"
240,[5]
241,"[3, 15]"
242,"[5, 16]"
243,"[5, 11]"
244,"[3, 9]"
245,"[1, 11]"
246,"[10, 12]"
247,"[1, 4, 12, 13]"
248,"[3, 9]"
249,"[5, 11, 12]"
250,[14]
251,"[8, 10]"
252,"[6, 11]"
253,[5]
254,[8]
255,"[5, 14]"
256,"[9, 12]"
257,"[1, 4, 7, 13]"
258,"[5, 12]"
259,"[3, 9]"
260,"[5, 11, 19]"
261,[]
262,"[3, 10]"
263,"[4, 9]"
264,"[7, 12]"
265,"[3, 11]"
266,"[5, 10]"
267,[12]
268,"[3, 4, 12]"
269,[7]
270,[11]
271,"[3, 9]"
272,"[5, 9, 12]"
273,[5]
274,"[10, 13]"
275,"[1, 4]"
276,[]
277,"[3, 9]"
278,"[5, 14]"
279,"[13, 15]"
280,"[1, 4, 12]"
281,"[7, 10]"
282,"[3, 9]"
283,"[5, 16]"
284,[14]
285,"[9, 10]"
286,"[1, 7, 11, 14]"
287,"[5, 12]"
288,[13]
289,"[5, 11, 13]"
290,"[5, 13]"
291,"[3, 10, 12]"
292,"[4, 7, 12]"
293,"[3, 9]"
294,"[5, 12]"
295,[7]
296,"[3, 8]"
297,"[1, 9, 10]"
298,"[7, 12]"
299,"[3, 9, 11, 21]"
